threshold,precision,recall,f1,f2,model
0.73,0.898989898989899,0.48633879781420764,0.6312056737588653,0.5354993983152828,random_forest
0.74,0.8983957219251337,0.45901639344262296,0.6075949367088608,0.5087825560266506,random_forest
0.75,0.8938547486033519,0.4371584699453552,0.5871559633027523,0.48691418137553255,random_forest
0.76,0.888235294117647,0.412568306010929,0.5634328358208955,0.4620563035495716,random_forest
0.77,0.8902439024390244,0.3989071038251366,0.5509433962264151,0.4484029484029484,random_forest
0.78,0.8974358974358975,0.3825136612021858,0.5363984674329502,0.43209876543209874,random_forest
0.79,0.891156462585034,0.35792349726775957,0.5107212475633528,0.4065797641216636,random_forest
0.8,0.8897058823529411,0.33060109289617484,0.4820717131474104,0.378125,random_forest
0.81,0.8780487804878049,0.29508196721311475,0.44171779141104295,0.34026465028355385,random_forest
0.8200000000000001,0.8828828828828829,0.2677595628415301,0.4109014675052411,0.3111111111111111,random_forest
0.8300000000000001,0.8857142857142857,0.2540983606557377,0.39490445859872614,0.29636711281070743,random_forest
0.8400000000000001,0.875,0.22950819672131148,0.36363636363636365,0.2692307692307692,random_forest
0.85,0.8875,0.19398907103825136,0.3183856502242152,0.22992227979274613,random_forest
0.15,0.7253668763102725,0.9453551912568307,0.8208778173190985,0.8912931478619268,xgboost
0.16,0.7253668763102725,0.9453551912568307,0.8208778173190985,0.8912931478619268,xgboost
0.16999999999999998,0.7253668763102725,0.9453551912568307,0.8208778173190985,0.8912931478619268,xgboost
0.18,0.728421052631579,0.9453551912568307,0.8228299643281808,0.8922124806601341,xgboost
0.19,0.732484076433121,0.9426229508196722,0.8243727598566308,0.8914728682170543,xgboost
0.2,0.7340425531914894,0.9426229508196722,0.8253588516746412,0.8919338159255429,xgboost
0.21,0.7349137931034483,0.9316939890710383,0.8216867469879519,0.8843360995850622,xgboost
0.22,0.7363834422657952,0.9234972677595629,0.8193939393939393,0.8788351534061363,xgboost
0.22999999999999998,0.7406593406593407,0.9207650273224044,0.8209500609013398,0.8780614903595623,xgboost
0.24,0.7427937915742794,0.9153005464480874,0.8200734394124847,0.8746736292428199,xgboost
0.25,0.7438752783964365,0.912568306010929,0.8196319018404908,0.872974385781495,xgboost
0.26,0.7466367713004485,0.9098360655737705,0.8201970443349754,0.8717277486910995,xgboost
0.27,0.7471783295711061,0.9043715846994536,0.8182941903584673,0.8678552700576823,xgboost
0.28,0.7505668934240363,0.9043715846994536,0.8203221809169765,0.868766404199475,xgboost
0.29000000000000004,0.7557077625570776,0.9043715846994536,0.8233830845771144,0.870136698212408,xgboost
0.3,0.7644341801385681,0.9043715846994536,0.8285356695869838,0.8724301528729573,xgboost
0.31,0.7692307692307693,0.9016393442622951,0.8301886792452831,0.8716323296354992,xgboost
0.32,0.7710280373831776,0.9016393442622951,0.8312342569269522,0.872093023255814,xgboost
0.32999999999999996,0.7712264150943396,0.8934426229508197,0.8278481012658228,0.8659957627118644,xgboost
0.33999999999999997,0.7748815165876777,0.8934426229508197,0.8299492385786802,0.866914103923648,xgboost
0.35,0.7817745803357314,0.8907103825136612,0.8326947637292464,0.8665603402445508,xgboost
0.36,0.7858880778588808,0.8825136612021858,0.8314028314028314,0.8613333333333333,xgboost
0.37,0.7853658536585366,0.8797814207650273,0.8298969072164949,0.8591248665955176,xgboost
0.38,0.7837837837837838,0.8715846994535519,0.8253557567917206,0.8524853019775521,xgboost
0.39,0.7896039603960396,0.8715846994535519,0.8285714285714286,0.8538543897216274,xgboost
0.4,0.7905236907730673,0.8661202185792349,0.8265971316818774,0.8498659517426274,xgboost
